,system_id,system_name,date_stamp,energy_prod(KWh),energy_life(MWh),C02 (Kg),KWp,performance,lat,lon,date_installed
0,546277845,Saltwater Reserve - Tennis,2020-10-22,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-15,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-19,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-16,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-17,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-20,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-21,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-26,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-23,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-24,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-25,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-27,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-28,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-29,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-02,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-30,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-10-31,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-01,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-03,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-05,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-04,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-06,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-23,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-26,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-07,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-08,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-09,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-10,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-11,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-12,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-13,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-14,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-15,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-16,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-17,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-18,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-19,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-20,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-21,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-22,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-24,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-25,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-30,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-28,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-29,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-11-27,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-01,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-03,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-09,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-04,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-02,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-05,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-06,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-07,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-08,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-10,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-15,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-11,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-12,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-13,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-14,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-16,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-23,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-17,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-18,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-19,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-20,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-21,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-22,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-24,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-26,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-28,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-25,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-27,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-29,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-01,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-05,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-30,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2020-12-31,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-02,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-03,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-04,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-09,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-07,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-08,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-06,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-12,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-11,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-18,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-10,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-14,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-13,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-15,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-16,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-17,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-19,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-21,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-20,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-22,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-23,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-24,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-25,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-26,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-27,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-28,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-29,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-02-02,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-30,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-01-31,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-02-04,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-02-01,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-02-05,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-02-03,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
0,546277845,Saltwater Reserve - Tennis,2021-02-06,0,,0.0,7.2,0,-37.907933,144.7509503,2017-07-27
